image_id,mean_dice,seed_sd,foreground_fraction,lesion_size_group,method
cju33qpdvc9g0087825jhf3s9,0.9449961185455322,0.01701441441894195,0.034116300615837376,small,resunet_paper
cju87r56lnkyp0755hz30leew,0.9514872630437216,0.01682477755581167,0.30805472501585573,large,resunet_paper
cju8dm2cau2km0818jsv9eeq2,0.9658474922180176,0.01669405139886029,0.1175333360590149,medium,resunet_paper
cju8clorgsuwn08714toqb7v6,0.8686591188112894,0.01663205069234414,0.12445237387253444,medium,siglip2_partial
cju16d65tzw9d0799ouslsw25,0.9517381191253661,0.0165766833209502,0.046722629741497664,small,resunet_paper
cju87q6yoneim0871dl4phvkd,0.9059390226999918,0.016435980848402875,0.25841730154829196,large,siglip2_frozen
cju8cwy02t9eq08185qn12c02,0.8932974537213644,0.016429530235412448,0.12937544900736517,medium,siglip2_partial
cju15jr8jz8sb0855ukmkswkz,0.691088060537974,0.01635051106515078,0.31392523722069177,large,resunet_paper
cju32upim1z7u0988l883nqp6,0.938458522160848,0.01630911564047898,0.1343039226458631,medium,resunet_paper
cju15l5ubz9yh0855b3ivdpse,0.7144489487012228,0.016171273808413066,0.03482544929940249,small,siglip2_full
cju8d2q30tfhs0801n7lx77xl,0.9706824620564779,0.016062438629710154,0.16964061996635288,large,resunet_paper
cju14hjh2ob2o0835ouz3r5aa,0.9237664341926575,0.015906913646923225,0.1254744161148102,medium,siglip2_full
cju87zv8lni0o0850hbbecbq6,0.8987657030423483,0.015889938326448656,0.014177141186787489,small,siglip2_frozen
cju0s690hkp960855tjuaqvv0,0.9552012085914612,0.015700406215827398,0.0366238264515541,small,siglip2_full
cju33mirdc8mj0799k33wzoes,0.9655131300290426,0.015602735236330049,0.16999491855079404,large,resunet_paper
cju0s690hkp960855tjuaqvv0,0.9537037014961243,0.01555328784370374,0.0366238264515541,small,resunet_paper
cju336l68y7if0993wf092166,0.9290648897488913,0.015525644464421657,0.22595876889219715,large,siglip2_full
cju0u82z3cuma0835wlxrnrjv,0.9401369690895081,0.015293537307612444,0.24693091785743543,large,siglip2_partial
cju14pxbaoksp0835qzorx6g6,0.62449578444163,0.015287989002942131,0.07176788206030456,small,resunet_paper
cju7dtb1e2j0t0818deq51ib3,0.9354458451271057,0.015237408196801435,0.16141722693169638,medium,siglip2_partial
cju14g8o4xui30878gkgbrvqj,0.9086174567540487,0.015213298500455441,0.02580219327726004,small,resunet_paper
cju85qefyln6v0850szeb9byi,0.96345986922582,0.015053592816917965,0.38419062779822905,large,siglip2_frozen
cju15czxqp3lv0835jvhgzurz,0.9635688463846842,0.014886361948530982,0.27298755676121955,large,siglip2_full
ck2da7fwcjfis07218r1rvm95,0.9650814930597941,0.014667607844202055,0.03738908179012346,small,siglip2_full
cjyzuio1qgh040763k56deohv,0.8922999501228333,0.014328469492508981,0.012497588734567902,small,siglip2_full
cjyzkmjy8evns070165gf9dmq,0.8905255794525146,0.014003466451941586,0.09722222222222222,medium,siglip2_frozen
cju87kbcen2av0987usezo8kn,0.3014629383881886,0.013939366128426282,0.06093924592152731,small,siglip2_partial
cjyzu3reghjya0794w7pwoi50,0.9254063566525778,0.013799395788027736,0.12073688271604938,medium,siglip2_full
cju160wshltz10993i1gmqxbe,0.9123855829238892,0.01372051708047504,0.02652077958409748,small,siglip2_frozen
cjyzlw7f9faqr070129au64sq,0.9170915484428406,0.013672085673859528,0.09407069830246914,medium,siglip2_frozen
cju0s690hkp960855tjuaqvv0,0.9526833295822144,0.013329259447013596,0.0366238264515541,small,siglip2_partial
cju87zv8lni0o0850hbbecbq6,0.9326176246007284,0.01323103598166605,0.014177141186787489,small,siglip2_full
cju33x0f22peh0988g0ln7w5v,0.9488341410954794,0.01317029444536788,0.02674356631643064,small,siglip2_partial
cjyzul1qggwwj07216mhiv5sy,0.9164880116780599,0.013146852016694598,0.045657454912935325,small,siglip2_full
cju87kbcen2av0987usezo8kn,0.3469177583853403,0.013143450249350142,0.06093924592152731,small,resunet_paper
ck2bxqz3evvg20794iiyv5v2m,0.2625894000132878,0.013139078022641212,0.08724922839506173,medium,siglip2_partial
cju33x0f22peh0988g0ln7w5v,0.950957934061686,0.013071785792813461,0.02674356631643064,small,siglip2_frozen
cju7dqcwi2dz00850gcmr2ert,0.9360044002532959,0.012983677710585048,0.054525358082432036,small,siglip2_frozen
cju0vtox5ain6099360pu62rp,0.8882229725519816,0.012947631184407995,0.04454678123542912,small,siglip2_frozen
cju32zhbnc1oy0801iyv1ix6p,0.8251940806706747,0.012900460953735919,0.25251754561253714,large,resunet_paper
cjyzul1qggwwj07216mhiv5sy,0.9134416977564493,0.012859288128626042,0.045657454912935325,small,siglip2_partial
cju8doa16u5gh0818w1ywda3q,0.9661998748779297,0.012686146436008489,0.7187133401005354,large,siglip2_full
ck2bxw18mmz1k0725litqq2mc,0.24131799737612403,0.012566313378845898,0.30569444444444444,large,siglip2_partial
cju16jgnyzp970878melv7r25,0.9451886415481567,0.01250867717158961,0.1164461247637051,medium,siglip2_full
cju7druhp2gp308715i6km7be,0.886455237865448,0.011921415865759157,0.32219218481199313,large,siglip2_frozen
cju14g8o4xui30878gkgbrvqj,0.9098783135414124,0.011908922747024092,0.02580219327726004,small,siglip2_partial
cjyzkpsbjdsjq07211dfi4sru,0.9469050367673238,0.01177296729088398,0.024580439814814815,small,resunet_paper
ck2bxpfgxu2mk0748gsh7xelu,0.6768776774406433,0.011741890905300093,0.06669881213400414,small,resunet_paper
cju8clorgsuwn08714toqb7v6,0.8926920692125956,0.011723445871131652,0.12445237387253444,medium,siglip2_frozen
ck2bxpfgxu2mk0748gsh7xelu,0.6727608640988668,0.01165940160172748,0.06669881213400414,small,siglip2_partial
cju33x0f22peh0988g0ln7w5v,0.934295117855072,0.011615260844413096,0.02674356631643064,small,siglip2_full
