image_id,dice_a,iou_a,precision_a,recall_a,specificity_a,tp_a,fp_a,fn_a,tn_a,dice_b,iou_b,precision_b,recall_b,specificity_b,tp_b,fp_b,fn_b,tn_b,dice_difference_b_minus_a
cju16jgnyzp970878melv7r25,0.9382755160331726,0.8837279081344604,0.8928247094154358,0.988602101802826,0.9843480587005616,11796.0,1416.0,136.0,89052.0,0.9579290747642516,0.9192551374435424,0.921747863292694,0.9970667362213136,0.9888358116149902,11897.0,1010.0,35.0,89458.0,0.01965355873107899
cjyzul1qggwwj07216mhiv5sy,0.8843201994895935,0.792629063129425,0.792629063129425,1.0,0.9875068068504332,4667.0,1221.0,0.0,96512.0,0.9040697813034058,0.8249337077140808,0.8252255320549011,0.9995714426040648,0.9898908138275146,4665.0,988.0,2.0,96745.0,0.019749581813812256
cjyztzaqtrv430848l8xgcerw,0.9222214221954346,0.8556686639785767,0.9189590215682985,0.9255070090293884,0.980104684829712,18574.0,1638.0,1495.0,80693.0,0.9439045190811156,0.8937681317329407,0.8962504863739014,0.9969106316566468,0.9718696475028992,20007.0,2316.0,62.0,80015.0,0.02168309688568104
cju7dz5yy2i7z0801ausi7rna,0.9298973083496094,0.8689794540405273,0.9892638325691224,0.8772526383399963,0.9997184872627258,2580.0,28.0,361.0,99431.0,0.9528460502624512,0.9099388718605042,0.9439439177513124,0.9619176983833312,0.9983108639717102,2829.0,168.0,112.0,99291.0,0.022948741912841797
cju87r56lnkyp0755hz30leew,0.9421088695526124,0.8905537128448486,0.9986146688461304,0.8916553258895874,0.9994497299194336,28113.0,39.0,3416.0,70832.0,0.9652215242385864,0.9327808022499084,0.997159481048584,0.9352659583091736,0.9988147616386414,29488.0,84.0,2041.0,70787.0,0.02311265468597401
cju87xn2snfmv0987sc3d9xnq,0.8875853419303894,0.7978907227516174,0.9313489198684692,0.8477500677108765,0.987677276134491,14299.0,1054.0,2568.0,84479.0,0.9143562316894532,0.8422249555587769,0.9807183146476746,0.8564059734344482,0.996679663658142,14445.0,284.0,2422.0,85249.0,0.02677088975906383
cjyzu3reghjya0794w7pwoi50,0.907328724861145,0.8303766250610352,0.8912212252616882,0.9240291118621826,0.9845179915428162,11421.0,1394.0,939.0,88646.0,0.9341358542442322,0.8764117956161499,0.8877149224281311,0.9856796264648438,0.9828853607177734,12183.0,1541.0,177.0,88499.0,0.026807129383087158
cju14g8o4xui30878gkgbrvqj,0.8910990953445435,0.8035877346992493,0.8035877346992493,1.0,0.9935242533683776,2643.0,646.0,0.0,99111.0,0.9206902384757996,0.8530361652374268,0.8535875678062439,0.9992432594299316,0.995458960533142,2641.0,453.0,2.0,99304.0,0.029591143131256104
cju8cwy02t9eq08185qn12c02,0.8704259991645813,0.7705789804458618,0.9912322759628296,0.7758672833442688,0.998979151248932,10288.0,91.0,2972.0,89049.0,0.905053973197937,0.8265740275382996,0.9884780049324036,0.8346154093742371,0.9985528588294984,11067.0,129.0,2193.0,89011.0,0.03462797403335571
cju0vtox5ain6099360pu62rp,0.7974660992622375,0.6631548404693604,0.6656874418258667,0.9942957162857056,0.9767380356788636,4532.0,2276.0,26.0,95566.0,0.8350297808647156,0.7167820930480957,0.7173467874526978,0.9989030361175536,0.9816642999649048,4553.0,1794.0,5.0,96048.0,0.03756368160247803
cju7dxffn2eam0817qxosfwch,0.6225979924201965,0.4520089328289032,0.9937431216239928,0.4532990157604217,0.9993966817855836,8100.0,51.0,9769.0,84480.0,0.6704549789428711,0.5042739510536194,0.9719387888908386,0.5117242336273193,0.996876895427704,9144.0,264.0,8725.0,84267.0,0.04785698652267456
