image_id,dice_a,iou_a,precision_a,recall_a,specificity_a,tp_a,fp_a,fn_a,tn_a,dice_b,iou_b,precision_b,recall_b,specificity_b,tp_b,fp_b,fn_b,tn_b,dice_difference_b_minus_a
cju33o12x2jm50988944mxq0v,0.9576783776283264,0.9187934994697572,0.9934148788452148,0.9244236946105956,0.9997878074645996,3168.0,21.0,259.0,98952.0,0.9561221599578856,0.9159329533576964,0.9716781973838806,0.9410563111305236,0.9990502595901488,3225.0,94.0,202.0,98879.0,-0.0015562176704407849
cju7ea4om2l910801bohqjccy,0.9780553579330444,0.9570531249046326,0.977461874485016,0.9786495566368104,0.9986547827720642,5638.0,130.0,123.0,96509.0,0.9777972102165222,0.9565589427947998,0.9848564863204956,0.9708383679389954,0.9991101026535034,5593.0,86.0,168.0,96553.0,-0.0002581477165222168
cju33jon3ygbj0993pu22a4k6,0.957427144050598,0.9183310866355896,0.9332430958747864,0.9828978776931764,0.9969854354858398,4138.0,296.0,72.0,97894.0,0.9575307965278624,0.9185219407081604,0.9645697474479676,0.9505938291549684,0.9985029101371764,4002.0,147.0,208.0,98043.0,0.0001036524772644043
cju32upim1z7u0988l883nqp6,0.9539088010787964,0.9118791818618774,0.923218071460724,0.986710250377655,0.9872503876686096,13587.0,1130.0,183.0,87500.0,0.9541784524917604,0.9123721718788148,0.9197493195533752,0.9912853837013244,0.9865621328353882,13650.0,1191.0,120.0,87439.0,0.0002696514129639782
cju330ofbc2l30801th5g3hw6,0.9742832779884338,0.9498560428619384,0.9768072962760924,0.9717721939086914,0.9990440011024476,3959.0,94.0,115.0,98232.0,0.9750854969024658,0.9513822793960572,0.970345139503479,0.9798723459243774,0.9987592101097108,3992.0,122.0,82.0,98204.0,0.0008022189140319824
cju8chdlqsu620755azjty1tj,0.9364892840385436,0.8805639743804932,0.9942768216133118,0.8850499987602234,0.9993996024131776,9555.0,55.0,1241.0,91549.0,0.9375641942024232,0.8824666142463684,0.9928549528121948,0.8881067037582397,0.9992467761039734,9588.0,69.0,1208.0,91535.0,0.0010749101638796166
cju15wdt3zla10801odjiw7sy,0.9745938777923584,0.9504467248916626,0.9845938086509703,0.9647950530052184,0.9970458149909972,16169.0,253.0,590.0,85388.0,0.9759827256202698,0.9530920386314392,0.9808943867683412,0.9711199998855592,0.9962984919548036,16275.0,317.0,484.0,85324.0,0.001388847827911377
cju16ach3m1da0993r1dq3sn2,0.9838910102844238,0.968292772769928,0.9810956716537476,0.9867023229599,0.9930893778800964,26935.0,519.0,363.0,74583.0,0.9858100414276124,0.9720171689987184,0.9779387712478638,0.9938090443611144,0.9918510913848876,27129.0,612.0,169.0,74490.0,0.0019190311431885876
cju33w4sdcivk0855x879zht7,0.9784740805625916,0.9578553438186646,0.9637435674667358,0.993661880493164,0.9969472289085388,7682.0,289.0,49.0,94380.0,0.9812363386154176,0.9631638526916504,0.9749712944030762,0.9875824451446532,0.9979296326637268,7635.0,196.0,96.0,94473.0,0.0027622580528260388
cju8dn0c3u2v50801k8rvq02f,0.977691888809204,0.9563573598861694,0.9717578291893004,0.983698844909668,0.986919105052948,31621.0,919.0,524.0,69336.0,0.9804589748382568,0.9616669416427612,0.9760458469390868,0.984912097454071,0.9889402985572816,31660.0,777.0,485.0,69478.0,0.0027670860290528454
